Quan Huyen,So ho CN,So lon,Trung binh
Son Tay,2164,40243,18.59658041
Ba Vi,9940,173393,17.44396378
Phuc Tho,2075,53794,25.92481928
Thach That,2370,29105,12.28059072
Quoc Oai,2108,24302,11.528463
Dan Phuong,1579,46055,29.16719443
Hoai Duc,1181,26505,22.44284505
Chuong My,3592,73040,20.33407572
Thanh Oai,1412,25240,17.87535411
Thuong Tin,835,20052,24.01437126
Ung Hoa,1818,36734,20.20572057
Phu Xuyen,1464,22169,15.14275956
My Duc,1829,51880,28.3652269
Soc Son,6113,52560,8.598069688
Dong Anh,2071,32272,15.58281024
Gia Lam,1243,27187,21.87208367
Thanh Tri,295,5413,18.34915254
Me Linh,1705,26233,15.38592375
Ha Dong,192,2666,13.88541667
Nam Tu Liem,54,493,9.12962963
Bac Tu Liem,159,2349,14.77358491
Long Bien,93,2027,21.79569892
Hoang Mai,90,1443,16.03333333
Tay Ho,47,620,13.19148936
Cau Giay,0,0,0
Ba Dinh,0,0,0
Thanh Xuan,0,0,0
Dong Da,0,0,0
Hoan Kiem,0,0,0
Hai Ba Trung,0,0,0
