Quan Huyen,So ho CN,So lon,Trung binh
Son Tay,216,4024,18.59658041
Ba Vi,994,17339,17.44396378
Phuc Tho,208,5379,25.92481928
Thach That,237,2911,12.28059072
Quoc Oai,211,2430,11.528463
Dan Phuong,158,4606,29.16719443
Hoai Duc,118,2651,22.44284505
Chuong My,359,7304,20.33407572
Thanh Oai,141,2524,17.87535411
Thuong Tin,84,2005,24.01437126
Ung Hoa,182,3673,20.20572057
Phu Xuyen,146,2217,15.14275956
My Duc,183,5188,28.3652269
Soc Son,611,5256,8.598069688
Dong Anh,207,3227,15.58281024
Gia Lam,124,2719,21.87208367
Thanh Tri,30,541,18.34915254
Me Linh,171,2623,15.38592375
Ha Dong,19,267,13.88541667
Nam Tu Liem,5,49,9.12962963
Bac Tu Liem,16,235,14.77358491
Long Bien,9,203,21.79569892
Hoang Mai,9,144,16.03333333
Tay Ho,5,62,13.19148936
Cau Giay,0,0,0
Ba Dinh,0,0,0
Thanh Xuan,0,0,0
Dong Da,0,0,0
Hoan Kiem,0,0,0
Hai Ba Trung,0,0,0
